Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community
Grant Mitchell,15,M,1874-06-17,,/m/03c35wj,1
George Zucco,15,M,1886-01-11,,/m/0dnp29,1
Keye Luke,15,M,1904-06-18,,/m/01y2rq,1
Van Heflin,15,M,1910-12-13,,/m/03bggl,1
Virginia Grey,15,F,1917-03-22,,/m/03lmwp,1
Ava Gardner,15,F,1922-12-24,/m/09lz9zx,/m/0btyl,1
Paul Harvey,15,M,1882-09-10,,/m/03csbls,1
Fay Wray,15,F,1907-09-15,,/m/02ysx,1
Hugh Herbert,15,M,1887-08-10,,/m/0f45yl,1
"Alan Hale, Jr.",15,M,1921-03-08,,/m/02qn4z,1
Robert Warwick,15,M,1878-10-09,,/m/07mw50,1
Jill Ireland,15,F,1936-04-24,,/m/05vy5j,1
Katharine Hepburn,15,F,1907-05-12,,/m/0bw87,1
Martha Raye,15,F,1916-08-27,,/m/01ppr7_,1
James Gleason,15,M,1882-05-23,,/m/04x9b0,1
Natalie Schafer,15,F,1900-11-05,,/m/02g_b8,1
Russell Johnson,15,M,1924-11-10,,/m/03scp0,1
Raymond Massey,15,M,1896-08-30,,/m/012j5h,1
Lena Horne,15,F,1917-06-30,/m/0x67,/m/01n44c,1
Warner Oland,15,M,1879-10-03,,/m/0447ft,1
John Hoyt,14,M,1905-10-05,,/m/081z2l,1
Joey Zimmerman,14,M,1986-06-10,/m/041rx,/m/061wbb,1
Johnny Sheffield,14,M,1931-04-11,,/m/0310rp,1
Pat Brady,14,M,1914-12-31,,/m/05zbj9,1
Frankie Darro,14,M,1917-12-22,,/m/06b2ht,1
Judith Hoag,14,F,1968-06-29,,/m/0d4zb6,1
Ruby Keeler,14,F,1910-08-25,,/m/019wrj,1
Richard Bakalyan,14,M,1931-01-29,,/m/02pj61d,1
Jay C. Flippen,14,M,1899-03-06,,/m/06plnr,1
Gordon MacRae,13,M,1921-03-12,,/m/01m2gwz,1
Billy De Wolfe,13,M,1907-02-18,,/m/0279f4k,1
Veronica Lake,13,F,1922-11-14,/m/033tf_,/m/01xm6k,1
Sally Payne,13,F,1912-09-05,,/m/043ntqz,1
Steve McQueen,13,M,1930-03-24,/m/07bch9,/m/012cj0,1
Charles Drake,13,M,1917-10-02,,/m/02w8sd,1
Arthur Kennedy,13,M,1914-02-17,,/m/014kg4,1
Edmund Gwenn,13,M,1877-09-26,,/m/03bpcj,1
Billy Barty,13,M,1924-10-25,,/m/02y3dh,1
Raymond Walburn,13,M,1887-09-09,,/m/0f_6zq,1
Elsa Lanchester,13,F,1902-10-28,,/m/015g36,1
George Bancroft,13,M,1882-09-30,,/m/03jl2r,1
Wade Boteler,13,M,1888-10-03,,/m/02x2pfc,1
Jon Hall,13,M,1915-02-23,,/m/05dtr6,1
Paulette Goddard,13,F,1910-06-03,,/m/01_2n6,1
Robert Vaughn,13,M,1932-11-22,,/m/01hbq0,1
Angela Lansbury,13,F,1925-10-16,/m/0d7wh,/m/0161h5,1
Elisha Cook Jr.,13,M,1903-12-26,,/m/05c934,1
Angie Dickinson,13,F,1931-09-30,,/m/02lyx4,1
Arthur Treacher,13,M,1894-07-23,,/m/020csj,1
Ray Collins,13,M,1889-12-10,,/m/06ybgd,1
Dan Duryea,13,M,1907-01-23,,/m/05c1cm,1
Edward Brophy,13,M,1895-02-27,,/m/05rg82,1
Mona Freeman,13,F,1926-06-09,,/m/074yjn,1
Wallace Reid,13,M,1891-04-15,,/m/03q8vb,1
Kimberly J. Brown,12,F,1984-11-16,,/m/05vf0s,1
William Haines,12,M,1900-01-02,,/m/02qq68,1
Lucile Watson,12,F,1879-05-27,,/m/079qlq,1
Lynne Overman,12,M,1887-09-19,,/m/0h160n,1
Tom Laughlin,12,M,1931-08-10,,/m/03zwzt,1
Clara Bow,12,F,1905-07-29,,/m/0qksf,1
Murray Hamilton,12,M,1923-03-24,,/m/06_3vs,1
Shirley Jean Rickert,12,F,1926-03-25,,/m/0gz83t,1
Jean Peters,12,F,1926-10-15,,/m/04q3w0,1
Robert Preston,12,M,1918-06-08,,/m/02l5mv,1
Pauline Moore,12,F,1914-06-14,,/m/03d93my,1
Emily Roeske,12,F,1991-07-15,,/m/0h3gcy,1
Morris Ankrum,12,M,1896-08-28,,/m/0c8fy1,1
O. J. Simpson,12,M,1947-07-09,/m/0x67,/m/016mbz,1
Loretta Young,12,F,1913-01-06,,/m/01934k,1
Moroni Olsen,12,M,1889-06-27,,/m/0g6zr3,1
Denver Pyle,12,M,1920-05-11,,/m/036t_f,1
Blanche Sweet,12,F,1896-06-18,,/m/07y9rp,1
Anita Page,12,F,1910-08-04,,/m/02tg57,1
Priscilla Presley,12,F,1945-05-24,/m/063k3h,/m/01dml6,1
Edna May Oliver,12,F,1883-11-09,,/m/04bjn7,1
Edmond O'Brien,12,M,1915-09-10,,/m/03bpn6,1
Ed Williams,12,M,,,/m/01xrv53,1
Michael McGreevey,12,M,1948-02-07,,/m/0dm3jpl,1
Gene Nelson,12,M,1920-03-24,,/m/09cz9s,1
Binnie Barnes,12,F,1903-05-25,/m/041rx,/m/074n6v,1
William Holden,12,M,1918-04-17,,/m/012v9y,1
James Coburn,12,M,1928-08-31,,/m/01337_,1
Walter Huston,12,M,1883-04-05,,/m/012dtw,1
Marcel Dalio,12,M,1900-07-17,/m/041rx,/m/07hp1y,1
Carole Lombard,12,F,1908-10-06,,/m/0c2ry,1
Susan Hayward,12,F,1917-06-30,/m/065b6q,/m/01938t,1
Rod Steiger,12,M,1925-04-14,,/m/0gm34,1
Jeanette MacDonald,11,F,1903-06-18,,/m/02hs3p,1
James Arness,11,M,1923-05-26,/m/09zyn5,/m/036jp8,1
Don Ameche,11,M,1908-05-31,,/m/02l0xc,1
Gerald Hamer,11,,1886-11-16,,/m/0cgryl7,1
Joanne Woodward,11,F,1930-02-27,,/m/01bj6y,1
Lafe McKee,11,M,1872-01-23,,/m/02wbvgd,1
Victor Sen Yung,11,M,1915-10-18,,/m/04cvwk,1
Marjorie Main,11,F,1890-02-24,,/m/02h71m,1
Lynne Roberts,11,F,1922-11-22,,/m/06_t89,1
Julius Tannen,11,M,1880-05-16,,/m/0h2gfq,1
Benson Fong,11,M,1916-10-10,/m/0d2by,/m/03r2xh,1
Alexis Smith,11,F,1921-06-08,,/m/03wg5w,1
Clayton Moore,11,M,1914-09-14,,/m/03y6y2,1
David Manners,11,M,1900-04-30,,/m/04d782,1
Roland Young,11,M,1887-11-11,,/m/04jy08,1
Chill Wills,11,M,1902-07-18,,/m/04yn6q,1
Janet Gaynor,11,F,1906-10-06,,/m/0cf3c,1
Charles Grapewin,10,M,1869-12-20,,/m/04_b5q,1
Christopher George,10,M,1931-02-25,,/m/07pkpm,1
Arthur O'Connell,10,M,1908-03-29,,/m/04yn21,1
Slim Summerville,10,M,1892-07-10,,/m/0gdjzf,1
Jeffrey Lynn,10,M,1909-02-16,,/m/04ykm7,1
Wendell Corey,10,M,1914-03-20,,/m/057k43,1
William A. Wellman,10,M,1896-02-29,,/m/06n9lt,1
Carmen Miranda,10,F,1909-02-09,,/m/0ddlf,1
Gale Page,10,F,1913-07-29,,/m/04yk_2,1
Anne Gwynne,10,F,1918-12-10,,/m/09rxfb,1
Edmund Cobb,10,M,1892-06-23,,/m/03c9pcl,1
Kay Hughes,10,F,1914-01-16,,/m/026w36w,1
Willard Robertson,10,M,1886-01-01,,/m/0415v68,1
Victor Francen,10,M,1888-08-05,,/m/027fmr_,1
María Montez,10,F,1912-06-06,/m/027vy0s,/m/02s9tl,1
Vera Miles,10,F,1930-08-23,,/m/03lnqj,1
Joan Bennett,10,F,1910-02-27,,/m/02m30v,1
Robert Cummings,10,M,1910-06-09,,/m/04qxvw,1
Margaret Sullavan,10,F,1909-05-16,,/m/018qlp,1
Tim Conway,10,M,1933-12-15,,/m/01nrgq,1
David McCallum,10,M,1933-09-19,,/m/01wgx4,1
Jane Wyman,10,F,1917-01-05,,/m/01933d,1
Helen Westley,10,F,1875-03-28,,/m/02vxb1m,1
Eleanor Boardman,10,F,1898-08-19,,/m/03xyt2,1
Renée Adorée,10,F,1898-09-30,,/m/02l53h,1
Wendy Barrie,10,F,1912-04-18,,/m/0870zb,1
Conrad Nagel,10,M,1897-03-16,,/m/06wnf6,1
Farley Granger,10,M,1925-07-01,,/m/03tnq5,1
Barney Furey,10,M,1886-09-07,,/m/03c56dw,1
J. Edward Bromberg,10,M,1903-12-25,,/m/06p6pc,1
Harry Davenport,10,M,1866-01-19,,/m/0266wpg,1
George C. Scott,10,M,1927-10-18,/m/02ctzb,/m/0l786,1
Harry Cording,9,M,1891-04-26,,/m/03y8mf2,1
Jane Powell,9,F,1929-04-01,,/m/01tn1yy,1
Dave Sharpe,9,M,1910-02-02,,/m/02x5ztx,1
Kevin Sorbo,9,M,1958-09-24,,/m/0jt9z,1
Laird Cregar,9,M,1913-07-28,/m/07bch9,/m/05g95h,1
Brian Keith,9,M,1921-11-14,,/m/02zyq6,1
Dorothy Malone,9,F,1925-01-30,,/m/033p3_,1
George Meeker,9,M,1904-03-05,,/m/0f8463,1
Chubby Johnson,9,M,1903-08-13,,/m/0fqqcz,1
Tim Spencer,9,M,1908-07-13,,/m/0ddbqx2,1
Irene Dunne,9,F,1898-12-20,,/m/0183xv,1
Robert Armstrong,9,M,1890-11-20,,/m/08c1f5,1
Jay Silverheels,9,M,1912-05-26,/m/01sq7s,/m/019wrw,1
Hugh Farr,9,M,1903-12-06,,/m/0gcfvqk,1
Mary Philips,9,F,1901-01-23,,/m/04664ng,1
Eric Linden,9,M,1909-09-15,/m/065b6q,/m/0gn989,1
Marjorie Rambeau,9,F,1889-07-15,,/m/079q2l,1
Cecilia Parker,9,F,1914-04-26,,/m/02q7wxb,1
Pierre Watkin,9,M,1889-12-29,,/m/025vrx_,1
Ann Sothern,9,F,1909-01-22,,/m/02l0sf,1
Sabu Dastagir,9,M,1924-01-27,/m/01336l,/m/06k5vz,1
Fay Bainter,9,F,1893-12-07,,/m/018qkz,1
Lucien Littlefield,9,M,1895-08-16,,/m/027j98h,1
Leonid Kinskey,9,M,1903-04-18,,/m/02rzk21,1
Henry Jones,9,M,1912-08-01,,/m/07vtjp,1
Dick Foran,9,M,1910-06-18,,/m/0f2wdc,1
Stefanie Powers,9,F,1942-11-02,,/m/04mn7m,1
Joey Bishop,9,M,1918-02-03,/m/041rx,/m/02vz3r,1
Bob Kortman,9,M,1887-12-24,,/m/02x274f,1
Paul Cavanagh,9,M,1888-12-08,,/m/03gw1kz,1
